UserID,Tên tài khoản,Mật khẩu,Phân loại
NV001,Nguyễn Văn A,q7YaQJXA,Nhân viên
NV002,Trần Thị B,wmBJVtwp,Nhân viên
NV003,Lê Văn C,LLVCgdaJ,Nhân viên
NV004,Phạm Thị D,t1xaszhs,Nhân viên
NV005,Đỗ Văn E,IrAlqnUU,Nhân viên
NV006,Ngô Thị F,8p4UcuyM,Nhân viên
NV007,Hoàng Văn G,nD78R800,Nhân viên
NV008,Vũ Thị H,krTwFW8t,Nhân viên
NV009,Bùi Văn I,SC4kMrEm,Nhân viên
NV010,Dương Thị K,Nt1jFQwb,Nhân viên
KH00001,customer00001,LUw1326s,Khách hàng
KH00002,customer00002,mGYq6HpM,Khách hàng
KH00003,customer00003,nGR69c4G,Khách hàng
KH00004,customer00004,qgll6bYD,Khách hàng
KH00005,customer00005,4psSH4be,Khách hàng
KH00006,customer00006,cEVtPlTV,Khách hàng
KH00007,customer00007,FHo69SR6,Khách hàng
KH00008,customer00008,KVYF2Bxy,Khách hàng
KH00009,customer00009,IJZoQQ5m,Khách hàng
KH00010,customer00010,JfL6zPgs,Khách hàng
KH00011,customer00011,artXRGOu,Khách hàng
KH00012,customer00012,oRVM6oJ4,Khách hàng
KH00013,customer00013,By26WiVr,Khách hàng
KH00014,customer00014,UD9JFGjl,Khách hàng
KH00015,customer00015,maEh8LdX,Khách hàng
KH00016,customer00016,Z27eY2le,Khách hàng
KH00017,customer00017,RZqBPvZA,Khách hàng
KH00018,customer00018,KhfrKLxF,Khách hàng
KH00019,customer00019,jMIEXy4M,Khách hàng
KH00020,customer00020,4oXrrzzE,Khách hàng
KH00021,customer00021,FLT9n2Fh,Khách hàng
KH00022,customer00022,Vn8xAhDs,Khách hàng
KH00023,customer00023,OGw49597,Khách hàng
KH00024,customer00024,jZyJaRNR,Khách hàng
KH00025,customer00025,fFJTiami,Khách hàng
KH00026,customer00026,v6nyDG5v,Khách hàng
KH00027,customer00027,uHms9M9M,Khách hàng
KH00028,customer00028,2rwYoaFl,Khách hàng
KH00029,customer00029,Jkat0rKj,Khách hàng
KH00030,customer00030,ZtBvb81R,Khách hàng
